Date,Price,Open,High,Low,Change %
2020-01-07,1.3123,1.3169,1.3214,1.3095,-0.0033
2020-01-06,1.3167,1.3075,1.3176,1.3064,0.0062
2020-01-03,1.3086,1.3138,1.3162,1.3054,-0.0044
2020-01-02,1.3144,1.3255,1.3268,1.3115,-0.0083
2020-01-01,1.3254,1.3261,1.3276,1.3237,-0.0004
2019-12-31,1.3259,1.3117,1.3285,1.3106,0.0111
2019-12-30,1.3113,1.3066,1.3152,1.3066,0.0028000000000000004
2019-12-27,1.3076,1.2992,1.3119,1.2967,0.006500000000000001
2019-12-26,1.2992,1.2961,1.3017,1.2952,0.0025
2019-12-25,1.296,1.2942,1.299,1.2921,0.0012
2019-12-24,1.2944,1.2936,1.2971,1.2912,0.0009
2019-12-23,1.2933,1.2994,1.3034,1.2904,-0.0053
2019-12-20,1.3002,1.3009,1.3081,1.2978,-0.0004
2019-12-19,1.3007,1.3079,1.3133,1.299,-0.0053
2019-12-18,1.3076,1.3129,1.3136,1.3059,-0.004
2019-12-17,1.3128,1.333,1.334,1.3099,-0.0151
2019-12-16,1.3329,1.3336,1.3423,1.3321,0.0003
2019-12-13,1.3325,1.3167,1.3517,1.316,0.0124
2019-12-12,1.3162,1.3203,1.323,1.3051,-0.0023
2019-12-11,1.3193,1.3157,1.3215,1.3106,0.003
2019-12-10,1.3154,1.3151,1.3217,1.3131,0.0008
2019-12-09,1.3143,1.3139,1.3182,1.3117,0.0006
2019-12-06,1.3135,1.3157,1.3167,1.31,-0.0015
2019-12-05,1.3155,1.3104,1.3167,1.3102,0.004
2019-12-04,1.3103,1.2993,1.3122,1.2982,0.0085
2019-12-03,1.2992,1.294,1.3013,1.2929,0.0043
2019-12-02,1.2936,1.2918,1.295,1.2896,0.0002
2019-11-29,1.2933,1.2912,1.2948,1.2879,0.0017000000000000001
2019-11-28,1.2911,1.2921,1.2952,1.2899,-0.0008
2019-11-27,1.2921,1.2866,1.2924,1.2826,0.0044
2019-11-26,1.2865,1.2899,1.291,1.2836,-0.0026
2019-11-25,1.2898,1.2851,1.2913,1.2841,0.0053
2019-11-22,1.283,1.2915,1.2929,1.2824,-0.0064
2019-11-21,1.2913,1.2923,1.2972,1.2893,-0.0007000000000000001
2019-11-20,1.2922,1.2924,1.2934,1.2887,0.0
2019-11-19,1.2922,1.2954,1.2971,1.291,-0.0023
2019-11-18,1.2952,1.2906,1.2986,1.29,0.0040999999999999995
2019-11-15,1.2899,1.2881,1.2921,1.2866,0.0014000000000000002
2019-11-14,1.2881,1.2851,1.2889,1.2824,0.0025
2019-11-13,1.2849,1.2848,1.2865,1.2822,0.0004
2019-11-12,1.2844,1.2855,1.2875,1.2815,-0.0005
2019-11-11,1.2851,1.2777,1.2899,1.2777,0.0063
2019-11-08,1.277,1.2813,1.2826,1.2769,-0.0034000000000000002
2019-11-07,1.2813,1.2853,1.2879,1.2794,-0.0029
2019-11-06,1.285,1.2885,1.2899,1.2843,-0.0025
2019-11-05,1.2882,1.2884,1.2918,1.2859,0.0
2019-11-04,1.2882,1.2944,1.2948,1.2876,-0.004
2019-11-01,1.2934,1.294,1.2974,1.2926,-0.0005
2019-10-31,1.294,1.2904,1.2977,1.2894,0.003
2019-10-30,1.2901,1.2869,1.2908,1.2845,0.0028000000000000004
2019-10-29,1.2865,1.2864,1.2906,1.2806,0.0002
2019-10-28,1.2862,1.2825,1.2878,1.2811,0.0032
2019-10-25,1.2821,1.2852,1.2864,1.2803,-0.0023
2019-10-24,1.285,1.2912,1.2952,1.2788,-0.0051
2019-10-23,1.2916,1.2872,1.2923,1.2841,0.0034000000000000002
2019-10-22,1.2872,1.2959,1.3001,1.2862,-0.0066
2019-10-21,1.2958,1.2925,1.3014,1.2875,-0.001
2019-10-18,1.2971,1.289,1.2986,1.2839,0.0064
2019-10-17,1.2888,1.2832,1.299,1.275,0.0045000000000000005
2019-10-16,1.283,1.2787,1.2877,1.2656,0.0034000000000000002
2019-10-15,1.2786,1.2609,1.28,1.2602,0.0143
2019-10-14,1.2606,1.2626,1.2654,1.2516,-0.0032
2019-10-11,1.2647,1.2441,1.2708,1.2407,0.0166
2019-10-10,1.244,1.2206,1.247,1.2205,0.019299999999999998
2019-10-09,1.2204,1.2218,1.2292,1.2198,-0.0011
2019-10-08,1.2217,1.2292,1.2304,1.2195,-0.0059
2019-10-07,1.229,1.2326,1.2338,1.2287,-0.0034000000000000002
2019-10-04,1.2332,1.2333,1.2358,1.2276,0.0003
2019-10-03,1.2328,1.2306,1.2415,1.2266,0.0023
2019-10-02,1.23,1.2307,1.2325,1.2227,-0.0001
2019-10-01,1.2301,1.2287,1.2342,1.2207,0.0011
2019-09-30,1.2287,1.2289,1.2348,1.2275,-0.0001
2019-09-27,1.2288,1.2322,1.2338,1.2271,-0.0028000000000000004
2019-09-26,1.2322,1.2357,1.2382,1.2302,-0.0022
2019-09-25,1.2349,1.2484,1.25,1.2347,-0.0111
2019-09-24,1.2488,1.2429,1.2504,1.2414,0.004699999999999999
2019-09-23,1.2429,1.2469,1.2492,1.2413,-0.0038
2019-09-20,1.2477,1.2524,1.2583,1.246,-0.0038
2019-09-19,1.2524,1.2473,1.2561,1.2438,0.0045000000000000005
2019-09-18,1.2468,1.2502,1.2514,1.2439,-0.0026
2019-09-17,1.25,1.2437,1.2528,1.2392,0.0058
2019-09-16,1.2428,1.2502,1.2511,1.2399,-0.0058
2019-09-13,1.25,1.2335,1.2508,1.2327,0.013600000000000001
2019-09-12,1.2332,1.2325,1.2368,1.2283,0.0005
2019-09-11,1.2326,1.2349,1.2372,1.2312,-0.0016
2019-09-10,1.2346,1.2347,1.2377,1.2306,0.0001
2019-09-09,1.2345,1.2274,1.2385,1.2233,0.0052
2019-09-06,1.2281,1.2331,1.2345,1.2279,-0.0039000000000000003
2019-09-05,1.2329,1.2253,1.2355,1.221,0.0064
2019-09-04,1.225,1.2078,1.2259,1.2077,0.0137
2019-09-03,1.2084,1.2067,1.2107,1.1958,0.0015
2019-09-02,1.2066,1.215,1.2176,1.2035,-0.0074
2019-08-30,1.2156,1.218,1.2226,1.2138,-0.0026
2019-08-29,1.2188,1.2211,1.2234,1.2172,-0.0017000000000000001
2019-08-28,1.2209,1.229,1.2293,1.2157,-0.0063
2019-08-27,1.2287,1.2219,1.231,1.2209,0.0059
2019-08-26,1.2215,1.2264,1.2287,1.2208,-0.0051
2019-08-23,1.2277,1.2251,1.2295,1.2194,0.0022
2019-08-22,1.225,1.2129,1.2274,1.2108,0.0102
2019-08-21,1.2126,1.217,1.2177,1.2112,-0.0034999999999999996
2019-08-20,1.2168,1.2127,1.2182,1.2064,0.0034999999999999996
2019-08-19,1.2125,1.2148,1.2174,1.2104,-0.002
2019-08-16,1.2149,1.2086,1.2176,1.2076,0.0054
2019-08-15,1.2084,1.2062,1.2152,1.205,0.0021
2019-08-14,1.2059,1.2058,1.2102,1.2045,0.0001
2019-08-13,1.2058,1.2075,1.2098,1.2041,-0.0012
2019-08-12,1.2073,1.2048,1.2107,1.2014,0.0032
2019-08-09,1.2034,1.2126,1.2155,1.2024,-0.008
2019-08-08,1.2131,1.2142,1.2184,1.2095,-0.0007000000000000001
2019-08-07,1.214,1.217,1.2192,1.2121,-0.0021
